Frequency (Hz)	Level (dB)
660.800171	-47.749325
661.473083	-49.212158
662.145996	-50.180065
662.818909	-51.235996
663.491821	-52.629044
664.164734	-53.993214
664.837646	-55.674774
665.510559	-56.942398
666.183472	-57.839348
666.856384	-58.548721
667.529297	-58.812828
668.202209	-59.659630
668.875122	-60.585220
669.548035	-61.779148
670.220947	-62.805973
670.893860	-63.326660
671.566772	-63.535255
672.239685	-63.694527
672.912598	-63.670177
673.585510	-63.488098
674.258423	-63.753265
674.931335	-64.754753
675.604248	-65.130074
676.277161	-64.266083
676.950073	-63.397060
677.622986	-63.060673
678.295898	-62.897793
678.968811	-62.895035
679.641724	-62.794300
680.314636	-63.136929
680.987549	-63.230251
681.660461	-63.906925
682.333374	-64.755898
683.006287	-65.130478
683.679199	-65.122200
684.352112	-64.959068
685.025024	-64.432426
685.697937	-63.906090
686.370850	-62.925156
687.043762	-61.665169
687.716675	-60.515110
688.389587	-59.590816
689.062500	-59.206600
689.735413	-59.599522
690.408325	-59.775410
691.081238	-59.567684
691.754150	-59.242630
692.427063	-59.379459
693.099976	-59.918476
693.772888	-60.694096
694.445801	-60.003967
695.118713	-58.809826
695.791626	-57.358837
696.464539	-52.855030
697.137451	-44.239296
697.810364	-37.430641
698.483276	-35.003151
699.156189	-35.605522
699.829102	-39.910984
700.502014	-47.844067
701.174927	-52.239735
701.847839	-55.029095
702.520752	-56.749367
703.193665	-59.025887
703.866577	-61.507992
704.539490	-63.327362
705.212402	-64.096054
705.885315	-64.562210
706.558228	-64.123619
707.231140	-63.430466
707.904053	-64.024567
708.576965	-64.368881
709.249878	-65.044983
709.922791	-64.993881
710.595703	-65.394913
711.268616	-64.813377
711.941528	-64.621437
712.614441	-64.511101
713.287354	-64.306671
713.960266	-63.878948
714.633179	-62.999779
715.306091	-62.292603
715.979004	-62.178356
716.651917	-62.307262
717.324829	-62.674278
717.997742	-62.805439
718.670654	-62.659718
719.343567	-62.191360
720.016479	-62.049278
720.689392	-61.612480
721.362305	-61.043690
722.035217	-61.364807
722.708130	-62.274654
723.381042	-63.566502
724.053955	-63.957146
724.726868	-63.347675
725.399780	-62.010422
726.072693	-61.079281
726.745605	-60.574467
727.418518	-60.265331
728.091431	-59.573376
728.764343	-59.147480
729.437256	-58.653595
730.110168	-57.408958
730.783081	-55.768711
731.455994	-54.980125
732.128906	-55.449986
732.801819	-52.480442
733.474731	-44.825367
734.147644	-44.071110
734.820557	-48.938976
735.493469	-54.057743
736.166382	-55.650490
736.839294	-55.301136
737.512207	-54.384167
738.185120	-52.590595
738.858032	-51.285915
739.530945	-48.154797
740.203857	-41.542740
740.876770	-38.398514
741.549683	-39.968506
742.222595	-46.973755
742.895508	-53.266266
743.568420	-54.870586
744.241333	-56.924404
744.914246	-59.583355
745.587158	-60.567223
746.260071	-59.687370
746.932983	-59.824928
747.605896	-60.451778
748.278809	-61.513515
748.951721	-62.888714
749.624634	-62.821831
750.297546	-63.438560
750.970459	-64.632217
751.643372	-65.448425
752.316284	-65.324097
752.989197	-65.285461
753.662109	-65.851669
754.335022	-66.276489
755.007935	-66.029137
755.680847	-66.011986
756.353760	-65.530373
757.026672	-65.001930
757.699585	-64.536560
758.372498	-64.256531
759.045410	-64.528603
759.718323	-64.426376
760.391235	-64.596321
761.064148	-64.535561
761.737061	-64.455353
762.409973	-64.886406
763.082886	-64.829216
763.755798	-64.731491
764.428711	-64.212555
765.101624	-63.986355
765.774536	-63.815948
766.447449	-63.547729
767.120361	-62.866405
767.793274	-62.612076
768.466187	-63.387882
769.139099	-63.542336
769.812012	-63.620209
770.484924	-63.771477
771.157837	-62.861130
